"Allhornstieg";"2 / 8";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Allhornweg";"1 / 9";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Allhornweg";"2 / 16";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Allmende";"2 / 6";"Neugraben-Fischbek";715;21149;6;"Neugraben-Fischbek/Ost, Moorburg, Altenwerder, Francop, Neuenfelde, Cranz"
"Allmende";"3 / 5";"Neugraben-Fischbek";715;21149;6;"Neugraben-Fischbek/Ost, Moorburg, Altenwerder, Francop, Neuenfelde, Cranz"
"Alpenrosenweg";"1a / 43";"Eidelstedt";320;22523;7;"Eidelstedt"
"Alpenrosenweg";"2 / 78";"Eidelstedt";320;22523;7;"Eidelstedt"
"Alphonsstraße";"1 / 21";"Marienthal";511;22043;2;"Marienthal, Jenfeld, Tonndorf"
"Alphonsstraße";"2 / 14";"Marienthal";511;22043;2;"Marienthal, Jenfeld, Tonndorf"
"Alsenplatz";"1 / 5";"Altona-Nord";208;22769;2;"Altona-Nord / Bahrenfeld-Ost"
"Alsenplatz";"2 / 2";"Altona-Nord";209;22769;2;"Altona-Nord / Bahrenfeld-Ost"
"Alsenstraße";"1 / 29";"Altona-Nord";208;22769;2;"Altona-Nord / Bahrenfeld-Ost"
"Alsenstraße";"2 / 8";"Altona-Nord";208;22769;2;"Altona-Nord / Bahrenfeld-Ost"
"Alsenstraße";"33 / 33";"Altona-Nord";209;22769;2;"Altona-Nord / Bahrenfeld-Ost"
"Alsterallee";"1 / 19";"Duvenstedt";522;22397;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Alsterallee";"2 / 8";"Duvenstedt";522;22397;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Alsterarkaden";"7 - 27";"Neustadt";108;20354;1;"Hamburg-Altstadt, HafenCity, Neustadt, St. Pauli"
"Alsterberg";"1 / 21";"Alsterdorf";407;22335;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterberg";"12 / 22";"Alsterdorf";407;22335;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterblick";"1 / 91";"Wohldorf-Ohlstedt";523;22397;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Alsterblick";"2 / 58";"Wohldorf-Ohlstedt";523;22397;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Alsterchaussee";"1 / 27";"Rotherbaum";312;20149;3;"Rotherbaum / Harvestehude"
"Alsterchaussee";"4 / 40";"Harvestehude";313;20149;3;"Rotherbaum / Harvestehude"
"Alsterdorfer Damm";"1 / 23";"Alsterdorf";407;22297;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Damm";"4 / 14";"Alsterdorf";407;22297;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Markt";"1 / 13";"Alsterdorf";407;22297;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Markt";"2 / 18";"Alsterdorf";407;22297;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Straße";"1 / 45";"Winterhude";409;22299;3;"Winterhude"
"Alsterdorfer Straße";"2 / 70";"Winterhude";409;22299;3;"Winterhude"
"Alsterdorfer Straße";"59 / 127";"Winterhude";408;22299;3;"Winterhude"
"Alsterdorfer Straße";"76 / 110";"Winterhude";408;22299;3;"Winterhude"
"Alsterdorfer Straße";"145 / 389d";"Alsterdorf";407;22297;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Straße";"182 / 446";"Alsterdorf";407;22297;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Straße";"459 / 539";"Alsterdorf";407;22337;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Straße";"462 / 556";"Alsterdorf";407;22337;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Straße";"560 / 574";"Ohlsdorf";430;22337;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterdorfer Straße";"573 / 581";"Ohlsdorf";430;22335;2;"Groß Borstel / Alsterdorf / Ohlsdorf / Fuhlsbüttel"
"Alsterfurt";"2 / 8";"Poppenbüttel";519;22399;6;"Poppenbüttel, Hummelsbüttel"
